date,profile_id,month_year,year
2020-07-30,3026,07-2020,2020
2020-07-31,2420,07-2020,2020
2020-08-01,853,08-2020,2020
2020-08-02,1016,08-2020,2020
2020-08-03,2774,08-2020,2020
2020-08-04,3026,08-2020,2020
2020-08-05,3508,08-2020,2020
2020-08-06,3547,08-2020,2020
2020-08-07,2708,08-2020,2020
2020-08-08,1200,08-2020,2020
2020-08-09,1256,08-2020,2020
2020-08-10,2938,08-2020,2020
2020-08-11,3317,08-2020,2020
2020-08-12,3361,08-2020,2020
2020-08-13,3528,08-2020,2020
2020-08-14,2647,08-2020,2020
2020-08-15,923,08-2020,2020
2020-08-16,1158,08-2020,2020
2020-08-17,3040,08-2020,2020
2020-08-18,3626,08-2020,2020
2020-08-19,3361,08-2020,2020
2020-08-20,3127,08-2020,2020
2020-08-21,2473,08-2020,2020
2020-08-22,1090,08-2020,2020
2020-08-23,1046,08-2020,2020
2020-08-24,3106,08-2020,2020
2020-08-25,3422,08-2020,2020
2020-08-26,3318,08-2020,2020
2020-08-27,3095,08-2020,2020
2020-08-28,3026,08-2020,2020
2020-08-29,929,08-2020,2020
2020-08-30,1103,08-2020,2020
2020-08-31,2659,08-2020,2020
2020-09-01,3364,09-2020,2020
2020-09-02,3394,09-2020,2020
2020-09-03,4044,09-2020,2020
2020-09-04,2508,09-2020,2020
2020-09-05,1114,09-2020,2020
2020-09-06,1157,09-2020,2020
2020-09-07,2002,09-2020,2020
2020-09-08,3849,09-2020,2020
2020-09-09,3923,09-2020,2020
2020-09-10,3321,09-2020,2020
2020-09-11,3093,09-2020,2020
2020-09-12,1061,09-2020,2020
2020-09-13,1059,09-2020,2020
2020-09-14,3194,09-2020,2020
2020-09-15,3845,09-2020,2020
2020-09-16,3484,09-2020,2020
2020-09-17,3239,09-2020,2020
2020-09-18,2869,09-2020,2020
2020-09-19,1068,09-2020,2020
2020-09-20,1284,09-2020,2020
2020-09-21,3213,09-2020,2020
2020-09-22,3277,09-2020,2020
2020-09-23,3201,09-2020,2020
2020-09-24,3163,09-2020,2020
2020-09-25,2419,09-2020,2020
2020-09-26,1064,09-2020,2020
2020-09-27,908,09-2020,2020
2020-09-28,2980,09-2020,2020
2020-09-29,3631,09-2020,2020
2020-09-30,4006,09-2020,2020
2020-10-01,4836,10-2020,2020
2020-10-02,2486,10-2020,2020
2020-10-03,1011,10-2020,2020
2020-10-04,1123,10-2020,2020
2020-10-05,3474,10-2020,2020
2020-10-06,3831,10-2020,2020
2020-10-07,3744,10-2020,2020
2020-10-08,3844,10-2020,2020
2020-10-09,2899,10-2020,2020
2020-10-10,1106,10-2020,2020
