date,profile_id,month_year,year,source
2022-01-09,178,01-2022,2022,DiSC
2022-01-10,434,01-2022,2022,DiSC
2022-01-11,482,01-2022,2022,DiSC
2022-01-12,409,01-2022,2022,DiSC
2022-01-13,333,01-2022,2022,DiSC
2022-01-14,299,01-2022,2022,DiSC
2022-01-15,256,01-2022,2022,DiSC
2022-01-16,197,01-2022,2022,DiSC
2022-01-17,336,01-2022,2022,DiSC
2022-01-18,411,01-2022,2022,DiSC
2022-01-19,413,01-2022,2022,DiSC
2022-01-20,412,01-2022,2022,DiSC
2022-01-21,316,01-2022,2022,DiSC
2022-01-22,197,01-2022,2022,DiSC
2022-01-23,199,01-2022,2022,DiSC
2022-01-24,346,01-2022,2022,DiSC
2022-01-25,427,01-2022,2022,DiSC
2022-01-26,404,01-2022,2022,DiSC
2022-01-27,387,01-2022,2022,DiSC
2022-01-28,319,01-2022,2022,DiSC
2022-01-29,183,01-2022,2022,DiSC
2022-01-30,202,01-2022,2022,DiSC
2022-01-31,385,01-2022,2022,DiSC
2022-02-01,343,02-2022,2022,DiSC
2022-02-02,489,02-2022,2022,DiSC
2022-02-03,413,02-2022,2022,DiSC
2022-02-04,291,02-2022,2022,DiSC
2022-02-05,201,02-2022,2022,DiSC
2022-02-06,195,02-2022,2022,DiSC
2022-02-07,407,02-2022,2022,DiSC
2022-02-08,388,02-2022,2022,DiSC
2022-02-09,342,02-2022,2022,DiSC
2022-02-10,298,02-2022,2022,DiSC
2022-02-11,303,02-2022,2022,DiSC
2022-02-12,173,02-2022,2022,DiSC
